<id_x995pm_qkd_4wmvu3>	<Jafar_Sharif-Emami>	<redirectedFrom>	"Sharif-Emami"@deu	
<id_x995pm_qkd_jdpr36>	<Jafar_Sharif-Emami>	<redirectedFrom>	"شریف امامی"@fas	
<id_x995pm_15u_10p0wo0>	<Jafar_Sharif-Emami>	<hasGivenName>	"Jafar"	
<id_11xvb08_1ia_12b7ckq>	<Jafar_Sharif-Emami>	rdfs:label	"Dschafar"@deu	
<id_x995pm_qkd_1glp0mj>	<Jafar_Sharif-Emami>	<redirectedFrom>	"Jafar sharif-emami"@fra	
<id_11xvb08_1ia_10mhi45>	<Jafar_Sharif-Emami>	rdfs:label	"Emami"@deu	
<id_x995pm_qkd_111j1r6>	<Jafar_Sharif-Emami>	<redirectedFrom>	"شريف امامي"@fas	
<id_x995pm_qkd_1qp6tby>	<Jafar_Sharif-Emami>	<redirectedFrom>	"Jaafar Sharif-Emami"@eng	
<id_x995pm_1ia_1i0yx4b>	<Jafar_Sharif-Emami>	rdfs:label	"Cafer Serif Imami"@tur	
<id_x995pm_qkd_h1ur7f>	<Jafar_Sharif-Emami>	<redirectedFrom>	"سید جعفر شریف امامی"@fas	
<id_11xvb08_1ia_5f5kar>	<Jafar_Sharif-Emami>	rdfs:label	"Sharif"@deu	
<id_x995pm_1ia_1itxjzf>	<Jafar_Sharif-Emami>	rdfs:label	"Jafar Sharif-Emami"@fra	
<id_x995pm_1ia_1itxjzf>	<Jafar_Sharif-Emami>	rdfs:label	"Jafar Sharif-Emami"@deu	
<id_x995pm_1ia_1itxjzf>	<Jafar_Sharif-Emami>	rdfs:label	"Jafar Sharif-Emami"@eng	
<id_x995pm_1ia_1itxjzf>	<Jafar_Sharif-Emami>	rdfs:label	"Jafar Sharif-Emami"@swe	
<id_x995pm_1o4_4wmvu3>	<Jafar_Sharif-Emami>	<hasFamilyName>	"Sharif-Emami"	
<id_x995pm_1ia_77a4m5>	<Jafar_Sharif-Emami>	rdfs:label	"Cafer Şerif İmami"@tur	
<id_x995pm_1sz_1itxjzf>	<Jafar_Sharif-Emami>	skos:prefLabel	"Jafar Sharif-Emami"@eng	
<id_x995pm_qkd_g3ta85>	<Jafar_Sharif-Emami>	<redirectedFrom>	"جعفر شریف امامی"@fas	
<id_x995pm_1ia_1dnxtp5>	<Jafar_Sharif-Emami>	rdfs:label	"جعفر شریف‌امامی"@fas	
<id_x995pm_qkd_xrmkw5>	<Jafar_Sharif-Emami>	<redirectedFrom>	"جعفر شريف امامي"@fas	
<id_x995pm_qkd_1bgc4al>	<Jafar_Sharif-Emami>	<redirectedFrom>	"سيد جعفر شريف امامي"@fas	
<id_x995pm_1ia_1itxjzf>	<Jafar_Sharif-Emami>	rdfs:label	"Jafar Sharif-Emami"	
<id_x995pm_qkd_1gxuak6>	<Jafar_Sharif-Emami>	<redirectedFrom>	"شریف‌امامی"@fas	
<id_oyybfp_1sz_1u686kk>	<Abbas_Adham>	skos:prefLabel	"Abbas Adham"@eng	
<id_oyybfp_15u_10k3bcj>	<Abbas_Adham>	<hasGivenName>	"Abbas"	
<id_oyybfp_1ia_1u686kk>	<Abbas_Adham>	rdfs:label	"Abbas Adham"	
<id_oyybfp_1ia_1u686kk>	<Abbas_Adham>	rdfs:label	"Abbas Adham"@eng	
<id_oyybfp_1o4_10k4prl>	<Abbas_Adham>	<hasFamilyName>	"Adham"	
<id_43caqn_qkd_11jekrx>	<Morteza_Mohammadkhan>	<redirectedFrom>	"مرتضي محمدخان"@fas	
<id_43caqn_1ia_po0p0g>	<Morteza_Mohammadkhan>	rdfs:label	"Morteza Mohammadkhan"	
<id_43caqn_1sz_po0p0g>	<Morteza_Mohammadkhan>	skos:prefLabel	"Morteza Mohammadkhan"@eng	
<id_43caqn_1ia_1ma2qsv>	<Morteza_Mohammadkhan>	rdfs:label	"مرتضی محمدخان"@fas	
<id_43caqn_15u_cizsco>	<Morteza_Mohammadkhan>	<hasGivenName>	"Morteza"	
<id_43caqn_1ia_po0p0g>	<Morteza_Mohammadkhan>	rdfs:label	"Morteza Mohammadkhan"@eng	
<id_43caqn_1o4_fe9cjs>	<Morteza_Mohammadkhan>	<hasFamilyName>	"Mohammadkhan"	
<id_aqjcdb_qkd_18bg270>	<Ali_Larijani>	<redirectedFrom>	"Alí Larijani"@spa	
<id_aqjcdb_1ia_f1swc6>	<Ali_Larijani>	rdfs:label	"アリー・ラーリージャーニー"@jpn	
<id_aqjcdb_1ia_fschug>	<Ali_Larijani>	rdfs:label	"Alí Larídžání"@ces	
<id_aqjcdb_1ia_1njkjnh>	<Ali_Larijani>	rdfs:label	"ალი ლარიჯანი"@kat	
<id_aqjcdb_qkd_jwmmwg>	<Ali_Larijani>	<redirectedFrom>	"Ali Ardashir Larijani"@eng	
<id_aqjcdb_1ia_1b4wvjl>	<Ali_Larijani>	rdfs:label	"Ali Lariyani"@spa	
<id_aqjcdb_qkd_vx9zgd>	<Ali_Larijani>	<redirectedFrom>	"على لاريجاني"@ara	
<id_aqjcdb_1ia_1b4naqo>	<Ali_Larijani>	rdfs:label	"Ali Larijani"@ind	
<id_aqjcdb_1ia_1b4naqo>	<Ali_Larijani>	rdfs:label	"Ali Larijani"@eng	
<id_aqjcdb_1ia_1b4naqo>	<Ali_Larijani>	rdfs:label	"Ali Larijani"@fin	
<id_aqjcdb_1ia_1b4naqo>	<Ali_Larijani>	rdfs:label	"Ali Larijani"@fra	
<id_aqjcdb_1ia_1b4naqo>	<Ali_Larijani>	rdfs:label	"Ali Larijani"@msa	
