<id_k172qw_qkd_12wirph>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"علي اصغر اتابك"@fas	
<id_k172qw_qkd_1b9lk60>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"ميرزا علي اصغرخان اتابك اعظم"@fas	
<id_k172qw_qkd_aru998>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"علي اصغر امين السلطان"@fas	
<id_k172qw_qkd_1p4ase0>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"میرزا علی اصغرخان امین السلطان"@fas	
<id_k172qw_qkd_139p7ic>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"علی‌اصغر امین‌السلطان"@fas	
<id_k172qw_qkd_5rakya>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"علي اصغر خان اتابك"@fas	
<id_k172qw_qkd_16pob0c>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"ميرزاعلي اصغرخان امين السلطان"@fas	
<id_k172qw_qkd_tz9aeu>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"میرزاعلی‌اصغرخان امین‌السلطان"@fas	
<id_k172qw_qkd_18mfynq>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"علی اصغر خان اتابک"@fas	
<id_k172qw_qkd_i46sty>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"میرزاعلی اصغرخان امین السلطان"@fas	
<id_k172qw_qkd_iyaoem>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"علی اصغرخان اتابک"@fas	
<id_k172qw_qkd_11mamor>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"میرزا علی اصغر امین السلطان"@fas	
<id_k172qw_qkd_1i4dppq>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"میرزا علی اصغر خان امین السلطان"@fas	
<id_k172qw_qkd_1n82c00>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	<redirectedFrom>	"اتابك اعظم"@fas	
<id_1uqyqw3_1sz_196v8ts>	<de/Abolqasem_Naser_al_Molk>	skos:prefLabel	"Abolqasem Naser al Molk"@eng	
<id_ozfjdo_qkd_3qkba6>	<Ahmad_Qavam>	<redirectedFrom>	"احمد قوام السلطنه"@fas	
<id_ozfjdo_1ia_w7j6d0>	<Ahmad_Qavam>	rdfs:label	"احمد قوام"@fas	
