<id_x995pm_88c_1n9957c>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Government_ministers_of_Iran>	
<id_x995pm_88c_xymnj4>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Iranian_civil_engineers>	
<id_x995pm_88c_nrz8bw>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Iranian_engineers>	
<id_x995pm_88c_tu2zdx>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Iranian_expatriates_in_the_United_States>	
<id_x995pm_88c_uj0ebr>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Iranian_people>	
<id_x995pm_88c_1plfr52>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_People_from_Tehran>	
<id_x995pm_88c_12hu0w7>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_People_of_the_Iranian_Revolution>	
<id_x995pm_88c_hkhbs>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Presidents_of_the_Senate_of_Iran>	
<id_x995pm_88c_1ihjs1g>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Prime_Ministers_of_Iran>	
<id_x995pm_88c_1ogicnx>	<Jafar_Sharif-Emami>	rdf:type	<wikicat_Rastakhiz_Party_politicians>	
<id_x995pm_88c_vafydj>	<Jafar_Sharif-Emami>	rdf:type	<wordnet_officeholder_110371450>	
<id_x995pm_88c_1cwc4rn>	<Jafar_Sharif-Emami>	rdf:type	<wordnet_president_110467179>	
<id_oyybfp_88c_1n9957c>	<Abbas_Adham>	rdf:type	<wikicat_Government_ministers_of_Iran>	
<id_oyybfp_88c_1pj4r1o>	<Abbas_Adham>	rdf:type	<wikicat_People_from_Tabriz>	
<id_oyybfp_88c_1plfr52>	<Abbas_Adham>	rdf:type	<wikicat_People_from_Tehran>	
<id_oyybfp_88c_13h7dhi>	<Abbas_Adham>	rdf:type	<wordnet_minister_110320863>	
<id_43caqn_88c_1n9957c>	<Morteza_Mohammadkhan>	rdf:type	<wikicat_Government_ministers_of_Iran>	
<id_43caqn_88c_1nlz59o>	<Morteza_Mohammadkhan>	rdf:type	<wikicat_Living_people>	
<id_43caqn_88c_1plfr52>	<Morteza_Mohammadkhan>	rdf:type	<wikicat_People_from_Tehran>	
<id_43caqn_88c_vafydj>	<Morteza_Mohammadkhan>	rdf:type	<wordnet_officeholder_110371450>	
<id_43caqn_88c_1cwc4rn>	<Morteza_Mohammadkhan>	rdf:type	<wordnet_president_110467179>	
<id_aqjcdb_88c_1n9957c>	<Ali_Larijani>	rdf:type	<wikicat_Government_ministers_of_Iran>	
<id_aqjcdb_88c_1rs4ud1>	<Ali_Larijani>	rdf:type	<wikicat_Iranian_military_commanders>	
<id_aqjcdb_88c_1xxv01k>	<Ali_Larijani>	rdf:type	<wikicat_Iranian_nuclear_negotiators>	
<id_aqjcdb_88c_uj0ebr>	<Ali_Larijani>	rdf:type	<wikicat_Iranian_people>	
<id_aqjcdb_88c_ef6kon>	<Ali_Larijani>	rdf:type	<wikicat_Iranian_politicians>	
<id_aqjcdb_88c_xyifuz>	<Ali_Larijani>	rdf:type	<wikicat_Iraqi_emigrants_to_Iran>	
<id_aqjcdb_88c_1l9a3ff>	<Ali_Larijani>	rdf:type	<wikicat_Legislative_speakers>	
<id_aqjcdb_88c_1nlz59o>	<Ali_Larijani>	rdf:type	<wikicat_Living_people>	
<id_aqjcdb_88c_pxy72l>	<Ali_Larijani>	rdf:type	<wikicat_Mazandarani_people>	
<id_aqjcdb_88c_1p96txj>	<Ali_Larijani>	rdf:type	<wikicat_People_from_Amol>	
<id_aqjcdb_88c_1gavwhq>	<Ali_Larijani>	rdf:type	<wikicat_People_from_Najaf>	
<id_aqjcdb_88c_k1r9bt>	<Ali_Larijani>	rdf:type	<wikicat_Speakers_of_the_Islamic_Consultative_Assembly_(Iran)>	
<id_aqjcdb_88c_vafydj>	<Ali_Larijani>	rdf:type	<wordnet_officeholder_110371450>	
<id_aqjcdb_88c_1cwc4rn>	<Ali_Larijani>	rdf:type	<wordnet_president_110467179>	
<id_1u6k5mm_88c_17gzep6>	<Mohammadreza_Nematzadeh>	rdf:type	<wikicat_California_Polytechnic_State_University,_San_Luis_Obispo_alumni>	
<id_1u6k5mm_88c_1n9957c>	<Mohammadreza_Nematzadeh>	rdf:type	<wikicat_Government_ministers_of_Iran>	
<id_1u6k5mm_88c_1nlz59o>	<Mohammadreza_Nematzadeh>	rdf:type	<wikicat_Living_people>	
<id_1u6k5mm_88c_1pj4r1o>	<Mohammadreza_Nematzadeh>	rdf:type	<wikicat_People_from_Tabriz>	
<id_1u6k5mm_88c_vafydj>	<Mohammadreza_Nematzadeh>	rdf:type	<wordnet_officeholder_110371450>	
<id_1u6k5mm_88c_1cwc4rn>	<Mohammadreza_Nematzadeh>	rdf:type	<wordnet_president_110467179>	
<id_k172qw_88c_cc7x6l>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	rdf:type	<wikicat_Assassinated_Iranian_people>	
<id_k172qw_88c_ne7gsh>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	rdf:type	<wikicat_Assassinated_Iranian_politicians>	
<id_k172qw_88c_uj0ebr>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	rdf:type	<wikicat_Iranian_people>	
<id_k172qw_88c_1plfr52>	<Mirza_Ali_Asghar_Khan_Amin_al-Sultan>	rdf:type	<wikicat_People_from_Tehran>	
